Country,Continent,Total_Cases,Population,"Confirmed Case per 10,000 population"
United States of America,North America,104196861,334805269,3112.163118
India,Asia,44682784,1406631776,317.6580023
France,Europe,39524311,65584518,6026.469692
Germany,Europe,37779833,83883596,4503.840417
Brazil,South America,36824580,215353593,1709.958933
Japan,Asia,32588442,125584838,2594.93443
South Korea,Asia,30197066,51329899,5882.938909
Italy,Europe,25453789,60262770,4223.800034
United Kingdom,Europe,24274361,68497907,3543.810616
Russia,Europe,21958696,145805947,1506.021973
Turkey,Asia,17042722,85561976,1991.85699
Spain,Europe,13731478,46719142,2939.154576
Vietnam,Asia,11526508,98953541,1164.840377
Australia,Oceania,11295446,26068792,4332.93802
Argentina,South America,10037135,46010234,2181.500533
Taiwan,Asia,9569611,23888595,4005.932957
Netherlands,Europe,8582500,17211447,4986.506945
Iran,Asia,7564350,86022837,879.3420752
Mexico,North America,7368252,131562772,560.0560013
Indonesia,Asia,6730289,279134505,241.1127567
Poland,Europe,6380225,37739785,1690.583293
Colombia,South America,6356309,51512762,1233.928982
Austria,Europe,5780229,9066710,6375.222104
Greece,Europe,5708301,10316637,5533.102502
Portugal,Europe,5563907,10140570,5486.779343
Ukraine,Europe,5370131,43192122,1243.312611
Chile,South America,5118981,19250195,2659.183972
Malaysia,Asia,5036593,33181072,1517.911477
Israel,Asia,4786189,9326000,5132.092001
DPRK,Asia,4772813,25990679,1836.355641
Thailand,Asia,4726984,70078203,674.5298535
Belgium,Europe,4691499,11668278,4020.729537
Czechia,Europe,4590019,10736784,4275.040832
Canada,North America,4550256,38388419,1185.319979
Peru,South America,4481621,33684208,1330.481334
Switzerland,Europe,4385701,8773637,4998.726298
Philippines,Asia,4073454,112508994,362.0558548
South Africa,Africa,4055966,60756135,667.5813068
Romania,Europe,3325006,19031335,1747.121786
Denmark,Europe,3173247,5834950,5438.344802
Hong Kong,Asia,2877280,7604299,3783.754426
Sweden,Europe,2693458,10218971,2635.742875
Serbia,Europe,2471198,8653016,2855.880539
Iraq,Asia,2465545,42164965,584.7378268
Singapore,Asia,2217110,5943546,3730.281552
Hungary,Europe,2192447,9606259,2282.310939
New Zealand,Oceania,2182355,4898203,4455.419671
Bangladesh,Asia,2037556,167885689,121.3656752
Slovakia,Europe,1860893,5460193,3408.108468
Georgia,Europe,1814180,3968738,4571.176026
Jordan,Asia,1746997,10300869,1695.970505
Ireland,Europe,1700253,5020199,3386.823909
Pakistan,Asia,1576313,229488994,68.68795634
Norway,Europe,1477856,5511370,2681.467584
Finland,Europe,1458619,5554960,2625.795685
Kazakhstan,Asia,1405917,19205043,732.0561584
Slovenia,Europe,1321852,2078034,6361.070127
Lithuania,Europe,1296865,2661708,4872.303799
Bulgaria,Europe,1295426,6844597,1892.625672
Morocco,Africa,1272240,37772756,336.8141843
Croatia,Europe,1267580,4059286,3122.667385
Lebanon,Asia,1228639,6684849,1837.945779
Guatemala,North America,1227853,18584039,660.7029828
Bolivia,South America,1187986,11992656,990.5945772
Costa Rica,North America,1186176,5182354,2288.874901
Tunisia,Africa,1150356,12046656,954.9172816
Cuba,North America,1112438,11305652,983.9662498
Ecuador,South America,1051239,18113361,580.3666145
UAE,Asia,1049409,10081785,1040.896032
Uruguay,South America,1032710,3496016,2953.962453
Panama,North America,1029701,4446964,2315.514585
Mongolia,Asia,1007871,3378078,2983.563435
Nepal,Asia,1001102,30225582,331.210165
Belarus,Europe,994037,9432800,1053.809049
