Date,Total Cases (per million),Total Deaths (per million),New_case_per_10000,New Deaths (per million)
01/01/2021,3390.809,13.878,62.13,0.105
02/01/2021,3458.432,13.967,66.541,0.105
03/01/2021,3508.641,14.232,63.885,0.135
04/01/2021,3559.94,14.556,66.179,0.177
05/01/2021,3619.666,14.762,68.002,0.194
06/01/2021,3696.069,14.998,70.814,0.219
07/01/2021,3785.261,15.116,75.684,0.21
08/01/2021,3863.138,15.351,67.476,0.21
09/01/2021,3935.357,15.823,68.132,0.265
10/01/2021,4007.046,15.97,71.201,0.248
11/01/2021,4072.813,16.235,73.268,0.24
12/01/2021,4170.313,16.353,78.664,0.227
13/01/2021,4258.267,16.471,80.314,0.21
14/01/2021,4356.593,16.589,81.619,0.21
15/01/2021,4451.206,17.031,84.01,0.24
16/01/2021,4569.922,17.267,90.652,0.206
17/01/2021,4668.307,17.502,94.466,0.219
18/01/2021,4765.719,17.709,98.987,0.21
19/01/2021,4872.708,17.827,100.342,0.21
20/01/2021,4990.804,18.239,104.648,0.253
21/01/2021,5084.209,18.563,103.945,0.282
22/01/2021,5191.198,18.917,105.713,0.269
23/01/2021,5317.162,19.447,106.749,0.311
24/01/2021,5415.753,19.653,106.778,0.307
25/01/2021,5505.563,19.977,105.692,0.324
26/01/2021,5611.197,20.302,105.498,0.354
27/01/2021,5719.629,20.626,104.118,0.341
28/01/2021,5840.26,20.832,108.007,0.324
29/01/2021,6008.949,21.127,116.822,0.316
30/01/2021,6177.726,21.598,122.938,0.307
31/01/2021,6333.833,21.981,131.154,0.333
01/02/2021,6458,22.394,136.062,0.345
02/02/2021,6559.803,22.688,135.515,0.341
03/02/2021,6686.032,23.307,138.058,0.383
04/02/2021,6820.718,23.837,140.065,0.429
05/02/2021,6920.635,24.338,130.241,0.459
06/02/2021,7033.988,24.898,122.323,0.471
07/02/2021,7143.923,25.252,115.727,0.467
08/02/2021,7235.265,25.694,111.038,0.471
09/02/2021,7316.708,26.401,108.129,0.53
10/02/2021,7413.589,26.784,103.937,0.497
11/02/2021,7513.3,27.196,98.94,0.48
12/02/2021,7611.066,27.58,98.633,0.463
13/02/2021,7714.165,28.08,97.168,0.455
14/02/2021,7786.768,28.228,91.835,0.425
15/02/2021,7851.179,28.434,87.988,0.391
16/02/2021,7931.03,28.729,87.76,0.333
17/02/2021,8019.367,28.964,86.54,0.311
18/02/2021,8099.277,29.613,83.711,0.345
19/02/2021,8185.787,30.349,82.103,0.396
20/02/2021,8258.301,30.732,77.734,0.379
21/02/2021,8355.448,30.968,81.24,0.391
22/02/2021,8420.036,31.115,81.265,0.383
23/02/2021,8492.756,31.292,80.247,0.366
24/02/2021,8597.211,31.705,82.549,0.391
25/02/2021,8653.902,32.058,79.232,0.349
26/02/2021,8720.287,32.412,76.357,0.295
27/02/2021,8789.943,32.736,75.949,0.286
28/02/2021,8861.75,33.031,72.329,0.295
01/03/2021,8915.613,33.296,70.797,0.311
02/03/2021,8961.432,33.443,66.954,0.307
03/03/2021,9012.849,33.62,59.377,0.274
04/03/2021,9073.635,33.826,59.962,0.253
05/03/2021,9137.104,33.974,59.545,0.223
06/03/2021,9186.605,34.15,56.666,0.202
07/03/2021,9236.196,34.357,53.492,0.189
08/03/2021,9281.248,34.445,52.234,0.164
09/03/2021,9318.964,34.681,51.076,0.177
10/03/2021,9361.629,34.946,49.826,0.189
11/03/2021,9410.159,35.093,48.075,0.181
12/03/2021,9456.567,35.358,45.638,0.198
13/03/2021,9499.881,35.447,44.754,0.185
14/03/2021,9539.777,35.535,43.369,0.168
15/03/2021,9575.371,35.653,42.018,0.173
16/03/2021,9606.692,35.741,41.104,0.152
17/03/2021,9642.611,35.889,40.14,0.135
18/03/2021,9678.352,35.948,38.313,0.122
19/03/2021,9724.789,36.036,38.318,0.097
20/03/2021,9774.026,36.095,39.164,0.093
21/03/2021,9813.126,36.213,39.05,0.097
22/03/2021,9846.01,36.331,38.663,0.097
23/03/2021,9886.79,36.478,40.014,0.105
24/03/2021,9924.152,36.655,40.22,0.109
25/03/2021,9964.224,36.714,40.839,0.109
26/03/2021,10001.793,36.773,39.572,0.105
27/03/2021,10037.122,36.802,37.585,0.101
28/03/2021,10075.485,36.861,37.48,0.093
29/03/2021,10103.212,36.979,36.743,0.093
30/03/2021,10136.596,37.126,35.687,0.093
31/03/2021,10180.264,37.274,36.587,0.088
01/04/2021,10214.974,37.48,35.821,0.109
02/04/2021,10253.102,37.657,35.901,0.126
03/04/2021,10301.366,37.804,37.749,0.143
04/04/2021,10341.115,37.892,37.947,0.147
05/04/2021,10372.643,37.951,38.49,0.139
06/04/2021,10410.948,38.158,39.193,0.147
07/04/2021,10444.509,38.305,37.749,0.147
08/04/2021,10482.372,38.423,38.2,0.135
09/04/2021,10537.001,38.541,40.557,0.126
10/04/2021,10581.493,38.688,40.018,0.126
11/04/2021,10632.733,38.924,41.66,0.147
12/04/2021,10671.539,39.159,42.699,0.173
13/04/2021,10723.604,39.277,44.665,0.16
14/04/2021,10779.264,39.631,47.822,0.189
15/04/2021,10842.556,39.867,51.455,0.206
16/04/2021,10917.722,40.161,54.389,0.232
17/04/2021,10986.405,40.22,57.845,0.219
