Date,Total Cases (per million),Total Deaths (per million),New_case_per_10000,New Deaths (per million)
2020-03-17,16.294,0.059,1.835,0.008
2020-03-18,19.83,0.059,2.34,0.008
2020-03-19,23.278,0.059,2.698,0.008
2020-03-20,26.519,0.088,3.123,0.013
2020-03-21,30.349,0.118,3.506,0.017
2020-03-22,34.857,0.295,3.978,0.042
2020-03-23,38.482,0.295,3.696,0.042
2020-03-24,44.728,0.413,4.062,0.051
2020-03-25,47.852,0.471,4.003,0.059
2020-03-26,52.92,0.56,4.235,0.072
2020-03-27,59.844,0.678,4.761,0.084
2020-03-28,63.675,0.766,4.761,0.093
2020-03-29,68.36,0.796,4.786,0.072
2020-03-30,72.779,1.002,4.9,0.101
2020-03-31,77.376,1.09,4.664,0.097
2020-04-01,81.501,1.267,4.807,0.114
2020-04-02,85.685,1.326,4.681,0.109
2020-04-03,91.814,1.473,4.567,0.114
2020-04-04,98.208,1.562,4.933,0.114
2020-04-05,102.628,1.68,4.895,0.126
2020-04-06,107.902,1.797,5.018,0.114
2020-04-07,111.762,1.827,4.912,0.105
2020-04-08,116.771,1.856,5.039,0.084
2020-04-09,121.368,1.915,5.097,0.084
2020-04-10,124.579,1.974,4.681,0.072
2020-04-11,128.056,2.063,4.264,0.072
2020-04-12,133.478,2.151,4.407,0.067
2020-04-13,137.986,2.239,4.298,0.063
2020-04-14,141.934,2.269,4.31,0.063
2020-04-15,146.943,2.416,4.31,0.08
2020-04-16,149.448,2.446,4.011,0.076
2020-04-17,152.689,2.475,4.016,0.072
2020-04-18,154.722,2.534,3.809,0.067
2020-04-19,156.313,2.593,3.262,0.063
2020-04-20,158.789,2.622,2.972,0.055
2020-04-21,159.82,2.622,2.555,0.051
2020-04-22,161.529,2.711,2.084,0.042
2020-04-23,163.002,2.74,1.936,0.042
2020-04-24,165.094,2.799,1.772,0.046
2020-04-25,167.687,2.829,1.852,0.042
2020-04-26,169.19,2.888,1.839,0.042
2020-04-27,170.309,2.888,1.646,0.038
2020-04-28,171.488,2.917,1.667,0.042
2020-04-29,172.402,2.947,1.553,0.034
2020-04-30,175.171,2.947,1.738,0.029
2020-05-01,176.851,3.005,1.68,0.029
2020-05-02,178.884,3.035,1.6,0.029
2020-05-03,181.978,3.035,1.827,0.021
2020-05-04,185.573,3.094,2.18,0.029
2020-05-05,187.193,3.094,2.244,0.025
2020-05-06,188.077,3.123,2.239,0.025
2020-05-07,189.403,3.153,2.033,0.029
2020-05-08,190.552,3.153,1.957,0.021
2020-05-09,192.556,3.153,1.953,0.017
2020-05-10,194.147,3.182,1.738,0.021
2020-05-11,196.121,3.182,1.507,0.013
2020-05-12,198.184,3.212,1.57,0.017
2020-05-13,198.655,3.212,1.511,0.013
2020-05-14,199.745,3.271,1.477,0.017
2020-05-15,200.924,3.3,1.482,0.021
2020-05-16,201.985,3.3,1.347,0.021
2020-05-17,202.486,3.33,1.191,0.021
2020-05-18,203.134,3.33,1.002,0.021
2020-05-19,204.519,3.33,0.905,0.017
2020-05-20,205.609,3.359,0.993,0.021
2020-05-21,206.522,3.359,0.968,0.013
2020-05-22,207.996,3.359,1.01,0.008
2020-05-23,210.294,3.389,1.187,0.013
2020-05-24,211.708,3.389,1.318,0.008
2020-05-25,213.476,3.389,1.477,0.008
2020-05-26,218.544,3.389,2.004,0.008
2020-05-27,224.054,3.389,2.635,0.004
2020-05-28,224.496,3.389,2.568,0.004
2020-05-29,224.791,3.389,2.399,0.004
2020-05-30,227.826,3.389,2.505,0
2020-05-31,228.71,3.389,2.429,0
2020-06-01,230.389,3.389,2.416,0
2020-06-02,231.509,3.389,1.852,0
2020-06-03,232.098,3.389,1.149,0
2020-06-04,234.839,3.389,1.477,0
2020-06-05,243,3.389,2.601,0
2020-06-06,243.56,3.418,2.248,0.004
2020-06-07,244.65,3.447,2.277,0.008
2020-06-08,245.21,3.447,2.117,0.008
2020-06-09,245.417,3.447,1.987,0.008
2020-06-10,245.623,3.447,1.932,0.008
2020-06-11,245.682,3.477,1.549,0.013
2020-06-12,246.595,3.477,0.514,0.013
2020-06-13,247.568,3.506,0.572,0.013
2020-06-14,248.835,3.536,0.598,0.013
2020-06-15,249.07,3.565,0.551,0.017
2020-06-16,250.278,3.565,0.695,0.017
2020-06-17,250.602,3.565,0.711,0.017
2020-06-18,250.897,3.565,0.745,0.013
2020-06-19,251.31,3.565,0.673,0.013
2020-06-20,251.486,3.565,0.56,0.008
2020-06-21,252.105,3.565,0.467,0.004
2020-06-22,252.577,3.565,0.501,0
2020-06-23,253.019,3.565,0.391,0
2020-06-24,253.107,3.565,0.358,0
2020-06-25,253.284,3.565,0.341,0
2020-06-26,253.402,3.565,0.299,0
2020-06-27,253.578,3.565,0.299,0
2020-06-28,253.873,3.565,0.253,0
2020-06-29,254.403,3.565,0.261,0
2020-06-30,254.492,3.565,0.21,0
2020-07-01,254.551,3.565,0.206,0
2020-07-02,254.58,3.565,0.185,0
2020-07-03,254.669,3.565,0.181,0
2020-07-04,254.816,3.565,0.177,0
2020-07-05,255.111,3.565,0.177,0
2020-07-06,255.258,3.565,0.122,0
2020-07-07,255.405,3.565,0.13,0
